filer_ein,filer_name,latest_cycle
472045681,CHARTER SCHOOLS ACTION FUND,2022
472740671,ADVANCE NORTH CAROLINA INC,2020
473555626,NORTH CAROLINA A PHILIP RANDOLPH EDUCATIONAL FUND,2020
474368320,MAJORITY FORWARD,2020
474425291,Coalition for Growth and Opportunity Inc,2018
474435189,ENGAGE MIAMI INC,2024
474435527,Black Youth Project 100 NFP,2020
474903967,OHIO ENVIRONMENTAL COUNCIL ACTION FUND,2016
474910347,RIGHT WAY INITIATIVE INC,2016
474938352,VAPOR TECHNOLOGY ASSOCIATION,2020
475545490,REPUBLICAN HINDU COALITION,2022
510596352,VOTEVETS ACTION FUND INC,2024
520579380,ASSOCIATED BUILDERS AND CONTRACTORS INC,2016
520810813,AMERICAN CONSERVATIVE UNION INC,2018
520895129,AMERICAN RESORT DEVELOPMENT ASSOCIATION,2012
520984255,The NETWORK,2020
520986195,NATIONAL RIGHT TO LIFE COMMITTEE INC,2012
521009116,NATIONAL TAXPAYERS UNION,2008
521243457,HUMAN RIGHTS CAMPAIGN INC,2016
521256643,GUN OWNERS OF AMERICA INC,2020
521312579,National Committee to Preserve Social,1990
521366721,PEOPLE FOR THE AMERICAN WAY,2024
521403587,Americans for Tax Reform,2014
521541501,GREENPEACE INC,2022
521733698,LEAGUE OF CONSERVATION VOTERS INC,2016
521767808,ABA VEBA,2024
521878313,HEALTH COALITION ON LIABILITY AND ACCESS,2014
522277805,ALLIANCE FOR RETIRED AMERICANS,2018
530029260,ASSOCIATED GENERAL CONTRACTORS OF AMERICA INC,2020
530045720,Chamber of Commerce of the USA,2022
530104410,AMERICAN CHEMISTRY COUNCIL,2024
530116130,NATIONAL RIFLE ASSOCIATION OF AMERICA,2022
530183181,Defenders of Wildlife,2008
530204616,NATIONAL WILDLIFE FEDERATION,2006
540978858,The Conservative Caucus,2024
541426441,FEMINIST MAJORITY,2022
541564919,THE 60 PLUS ASSOCIATION INC,2024
541719605,HSLDA ACTION,2020
541850126,Susan B Anthony List Inc,2024
541916980,CENTER FOR INDIVIDUAL FREEDOM,2012
542015951,NATIONAL ASSOCIATION FOR GUN RIGHTS INC,2010
550306990,WEST VIRGINIA CHAMBER OF COMMERCE,2016
550307050,WEST VIRGINIA COAL ASSOCIATION,2018
591391115,PLANNED PARENTHOOD OF SOUTH FLORIDA,2004
593786428,Humane World Action Fund,2022
620306045,NATIONAL COTTON COUNCIL OF AMERICA,2020
621103006,SOUTHERN ALLIANCE FOR CLEAN ENERGY,2014
651218474,POWERPAC ORG,2018
680666110,CLIMATE REALITY ACTION FUND,2022
742556532,NATIONAL WILDLIFE FEDERATION ACTION FUND,2024
743234716,NEVADA ADVOCATES FOR PLANNED,2012
750603700,Cornerstone Credit Union League,2012
753148958,AMERICANS FOR PROSPERITY,2018
770053480,CIVIC EMPOWERMENT COALITION,2024
770261817,PLANNED PARENTHOOD ADVOCATES MAR MONTE,2014
810668995,MI FAMILIA VOTA,2024
811205696,PLUS Action Fund,2020
812185907,FLIC VOTES INC,2024
812212257,AMERICAN ENERGY ACTION,2018
812248241,NORTH CAROLINA LATINO POWER,2016
812639254,BORICUA VOTA,2018
812699957,ParentsTogether Action,2024
813260391,Our Revolution,2016
813511044,215 Peoples Alliance,2020
813512949,AMERICA WORKING TOGETHER,2016
813625061,Black Voters Matter Fund Inc,2018
814571869,Womens March Inc,2024
814944067,INDIVISIBLE PROJECT,2024
815016758,STAND UP REPUBLIC INC,2020
815137380,AMERICA FIRST WORKS INC,2018
820934131,NEW GEORGIA PROJECT ACTION FUND,2022
820957528,NEW DEMOCRACY,2022
821505471,WINNING FOR WOMEN INC,2018
821514760,BLACK PROGRESSIVE ACTION COALITION,2024
821685518,National Security and Opportunity Fund,2018
